Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,Surfaces,220.0,900.0,17/12/2023
Manouba,Mannouba,Mannouba,Sale,2-room apartment,100.0,185000.0,02/01/2024
Tunis,La Marsa,La Marsa,Rental,1-room apartment,60.0,1100.0,22/12/2023
Nabeul,Beni Khiar,Beni Khiar,Sale,3-room apartment,80.0,80000.0,14/12/2023
Ariana,La Soukra,La Soukra,Sale,Surfaces,1650.0,1700000.0,15/12/2023
Tunis,El Menzah,El Menzah,Rental,1-room apartment,50.0,700.0,19/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,3-room apartment,100.0,350.0,21/12/2023
Nabeul,Beni Khiar,Beni Khiar,Sale,Houses,283.0,460000.0,03/01/2024
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,50.0,750.0,18/12/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,1016.0,863600.0,22/12/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Sale,Houses,1.0,250000.0,16/12/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,209.0,2400.0,28/12/2023
Ben arous,Ezzahra,Ezzahra,Rental,3-room apartment,150.0,800.0,27/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,720000.0,25/12/2023
Ben arous,Megrine,Megrine,Rental,3-room apartment,120.0,750.0,13/12/2023
Bizerte,Ghar El Melh,Ghar El Melh,Land,Vacant land,5500.0,4125000.0,03/01/2024
Tunis,Le Bardo,Le Bardo,Rental,2-room apartment,114.0,780.0,11/12/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,4-room apartment,120.0,1800.0,11/12/2023
Tunis,La Marsa,La Marsa,Sale,2-room apartment,90.0,170000.0,21/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,200.0,1800.0,03/01/2024
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,1520000.0,11/12/2023
Nabeul,Hammamet,Hammamet,Offices & Shops,Business property,260.0,11000.0,28/12/2023
Tunis,El Menzah,El Menzah,Sale,2-room apartment,57.0,235000.0,19/12/2023
Nabeul,Hammamet,Hammamet,Vacation rental,2-room apartment,22222.0,22222.0,27/12/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,400.0,2000.0,03/01/2024
Ariana,Ariana Ville,Ariana Ville,Sharing,3-room apartment,130.0,400.0,24/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,580.0,1160000.0,28/12/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,50.0,550.0,28/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,230.0,26400.0,29/12/2023
Ariana,La Soukra,La Soukra,Sale,Houses,207.0,2950000.0,18/12/2023
Ben arous,Hammam Lif,Hammam Lif,Offices & Shops,Business property,60.0,55000.0,24/12/2023
Ariana,Raoued,Raoued,Rental,Duplex,167.0,1200.0,20/12/2023
Siliana,El Aroussa,El Aroussa,Land,Agricultural land,120000.0,850000.0,13/12/2023
Tunis,El Menzah,El Menzah,Sale,3-room apartment,128.0,465500.0,19/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,100.0,1250.0,11/12/2023
Ariana,Mnihla,Mnihla,Sale,1-room apartment,60.0,175000.0,03/01/2024
Tunis,La Marsa,La Marsa,Rental,Other,100.0,2500.0,14/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,5-room apartment and more,201.0,540000.0,02/01/2024
Tunis,Le Bardo,Le Bardo,Rental,2-room apartment,70.0,700.0,02/01/2024
Tunis,La Marsa,La Marsa,Rental,4-room apartment,1.0,2800.0,27/12/2023
Gabes,Gabes Sud,Gabes Sud,Land,Vacant land,50000.0,3500000.0,12/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,200.0,220000.0,20/12/2023
Tunis,El Kram,El Kram,Land,Vacant land,7000.0,10500.0,28/12/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,60.0,600.0,12/12/2023
Manouba,Jedaida,Jedaida,Land,Agricultural land,120000.0,720000.0,13/12/2023
Ben arous,El Mourouj,El Mourouj,Sale,2-room apartment,64.0,130000.0,29/12/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,3-room apartment,75.0,800.0,03/01/2024
Ben arous,Rades,Rades,Rental,3-room apartment,80.0,600.0,11/11/2023
Sousse,Akouda,Akouda,Sale,3-room apartment,100.0,292000.0,22/12/2023
Bizerte,Utique,Utique,Offices & Shops,Surfaces,2000.0,16000.0,16/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,600.0,2300000.0,29/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,800000.0,25/12/2023
Tunis,Cite El Khadra,Cite El Khadra,Sale,Surfaces,70.0,200000.0,10/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,1400.0,02/01/2024
Nabeul,Soliman,Soliman,Rental,Other,350.0,850.0,27/12/2023
Ariana,Raoued,Raoued,Land,Agricultural land,140.0,32000.0,04/10/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,1000.0,15000.0,02/02/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,720000.0,11/12/2023
Nabeul,Soliman,Soliman,Sale,Houses,785.0,260000.0,22/09/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,180.0,200000.0,26/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,820.0,1804000.0,29/12/2023
Nabeul,Hammamet,Hammamet,Sale,5-room apartment and more,282.0,1350000.0,26/12/2023
Tunis,La Marsa,La Marsa,Rental,Houses,1000.0,7500.0,18/12/2023
Tunis,El Menzah,El Menzah,Rental,1-room apartment,60.0,750.0,12/12/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,190.0,4950.0,15/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,85.0,1150.0,28/12/2023
Ben arous,El Mourouj,El Mourouj,Sale,Houses,451.0,550000.0,15/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,210.0,820000.0,02/01/2024
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,110.0,225000.0,11/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,2-room apartment,90.0,850.0,19/12/2023
Manouba,Mannouba,Mannouba,Rental,4-room apartment,115.0,890.0,26/12/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,100.0,1800.0,03/01/2024
Tunis,La Marsa,La Marsa,Rental,3-room apartment,130.0,950.0,02/01/2024
Tunis,El Menzah,El Menzah,Sale,3-room apartment,120.0,395000.0,13/12/2023
Ben arous,Ben Arous,Ben Arous,Rental,3-room apartment,120.0,750.0,13/12/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,220.0,154000.0,23/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,3-room apartment,128.0,460000.0,29/12/2023
Ben arous,El Mourouj,El Mourouj,Sale,5-room apartment and more,110.0,385000.0,26/12/2023
Tunis,La Marsa,La Marsa,Rental,Other,250.0,1700.0,25/12/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,240.0,1580000.0,21/12/2023
Tunis,Le Bardo,Le Bardo,Rental,2-room apartment,70.0,350.0,23/12/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,200.0,2800.0,13/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,335.0,1600000.0,25/12/2023
Ariana,Raoued,Raoued,Rental,3-room apartment,1.0,650.0,12/12/2023
Manouba,Mannouba,Mannouba,Rental,Houses,100.0,800.0,29/12/2023
Sfax,Sfax Sud,Sfax Sud,Land,Vacant land,458.0,160000.0,29/12/2023
Nabeul,Hammamet,Hammamet,Sale,2-room apartment,117.0,600000.0,25/12/2023
Tunis,El Menzah,El Menzah,Rental,Houses,80.0,600.0,29/12/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,140.0,1100.0,19/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,420.0,550000.0,02/01/2024
Ben arous,Rades,Rades,Rental,4-room apartment,100.0,850.0,02/01/2024
Ariana,La Soukra,La Soukra,Land,Vacant land,350.0,297500.0,03/01/2024
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,175.0,1950.0,14/12/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Rental,Houses,125.0,600.0,17/12/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,2-room apartment,50.0,800.0,11/12/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Agricultural land,1000.0,300000.0,02/01/2024
Ariana,La Soukra,La Soukra,Rental,2-room apartment,80.0,480.0,27/12/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,50.0,450.0,02/01/2024
Tunis,La Marsa,La Marsa,Sale,2-room apartment,94.0,263000.0,02/01/2024
Nabeul,Hammamet,Hammamet,Sale,Houses,2100.0,4500000.0,29/12/2023
Tunis,La Marsa,La Marsa,Rental,Houses,300.0,5000.0,19/12/2023
Manouba,Mannouba,Mannouba,Rental,3-room apartment,120.0,900.0,18/12/2023
Tunis,La Marsa,La Marsa,Sale,Houses,380.0,3000000.0,15/12/2023
Zaghouan,Hammam Zriba,Hammam Zriba,Land,Agricultural land,9100.0,105000.0,12/12/2023
Sfax,Sfax Ville,Sfax Ville,Land,Vacant land,450.0,150000.0,20/07/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,600.0,48000.0,29/12/2023
Nabeul,Nabeul,Nabeul,Land,Vacant land,5000.0,1500000.0,29/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Land,Vacant land,700.0,1400000.0,15/12/2023
Tunis,Le Bardo,Le Bardo,Sale,2-room apartment,75.0,82000.0,26/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,3-room apartment,140.0,650.0,29/12/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,Houses,120.0,500.0,18/12/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,220.0,3000.0,13/12/2023
Sousse,Bou Ficha,Bou Ficha,Sale,Houses,400.0,750000.0,13/12/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,60.0,750.0,25/12/2023
Tunis,El Menzah,El Menzah,Rental,4-room apartment,120.0,1350.0,25/12/2023
Tunis,La Marsa,La Marsa,Sale,4-room apartment,234.0,1200000.0,25/12/2023
Nabeul,Hammamet,Hammamet,Sale,2-room apartment,100.0,100000.0,03/01/2024
Ariana,La Soukra,La Soukra,Rental,3-room apartment,100.0,800.0,11/12/2023
Manouba,Mannouba,Mannouba,Rental,Houses,80.0,700.0,16/12/2023
Tunis,El Menzah,El Menzah,Offices & Shops,Office,185.0,3800.0,25/12/2023
Ariana,La Soukra,La Soukra,Rental,Duplex,1.0,2600.0,20/12/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,806.0,1370200.0,28/12/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Office,90.0,1200.0,14/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,2-room apartment,100.0,470.0,14/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,370.0,1250000.0,28/12/2023
Tunis,El Kram,El Kram,Rental,2-room apartment,90.0,1400.0,29/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,220.0,870000.0,09/12/2023
Manouba,Jedaida,Jedaida,Land,Agricultural land,2000.0,99999.0,28/12/2023
Tunis,La Marsa,La Marsa,Sale,Other,150.0,245000.0,23/12/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,100.0,750000.0,27/12/2023
Tunis,Sidi El Bechir,Sidi El Bechir,Sale,Houses,193.0,200000.0,17/10/2022
Tunis,La Marsa,La Marsa,Rental,4-room apartment,160.0,3200.0,11/12/2023
Tunis,Carthage,Carthage,Rental,3-room apartment,250.0,1000.0,12/12/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,104.0,1400.0,27/12/2023
Tunis,El Menzah,El Menzah,Offices & Shops,Surfaces,35.0,230000.0,19/12/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,2-room apartment,85.0,460000.0,09/12/2023
Nabeul,Hammamet,Hammamet,Land,Agricultural land,3000.0,95000.0,23/12/2023
Nabeul,Hammamet,Hammamet,Sale,Other,288.0,830000.0,16/12/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,Houses,1602.0,1500.0,20/08/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,153.0,2000.0,03/01/2024
Ben arous,Fouchana,Fouchana,Sale,Houses,188.0,375000.0,03/01/2024
Tunis,El Menzah,El Menzah,Rental,Houses,400.0,4400.0,24/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,3-room apartment,70.0,700.0,10/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,3000.0,28/12/2023
Ben arous,Megrine,Megrine,Rental,2-room apartment,60.0,450.0,03/01/2024
Ariana,Mnihla,Mnihla,Rental,3-room apartment,100.0,1000.0,28/12/2023
Sousse,Akouda,Akouda,Sale,Surfaces,700.0,220000.0,21/12/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,100.0,1200.0,02/01/2024
Nabeul,Hammamet,Hammamet,Sale,Houses,200.0,780000.0,26/12/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,570.0,855000.0,28/12/2023
Ben arous,Hammam Chatt,Hammam Chatt,Sale,Houses,300.0,120000.0,11/12/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,450.0,405000.0,01/01/2024
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,1-room apartment,60.0,550.0,28/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,140.0,1800.0,03/01/2024
Nabeul,Hammamet,Hammamet,Rental,Houses,1700.0,6000.0,02/01/2024
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,5-room apartment and more,190.0,2000.0,30/12/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Surfaces,375.0,650000.0,21/12/2023
Manouba,Mannouba,Mannouba,Land,Vacant land,200.0,200000.0,30/12/2023
Nabeul,Soliman,Soliman,Rental,2-room apartment,90.0,600.0,02/01/2024
Tunis,Bab Bhar,Bab Bhar,Sale,2-room apartment,50.0,140000.0,28/12/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,260.0,5000.0,19/12/2023
Ben arous,Ezzahra,Ezzahra,Sale,3-room apartment,140.0,140000.0,29/12/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,100.0,1400.0,29/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,250.0,2500.0,12/12/2023
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Sale,Houses,236.0,600000.0,22/12/2023
Sfax,Sfax Sud,Sfax Sud,Rental,3-room apartment,96.0,450.0,17/12/2023
Tunis,El Menzah,El Menzah,Rental,Houses,300.0,3000.0,23/12/2023
Ariana,Mnihla,Mnihla,Rental,4-room apartment,140.0,1400.0,26/12/2023
Tunis,Carthage,Carthage,Rental,4-room apartment,250.0,1000.0,12/12/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,120.0,630000.0,11/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1100000.0,03/01/2024
Nabeul,Hammamet,Hammamet,Sale,Houses,348.0,380000.0,14/12/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,27.0,550.0,23/12/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Sale,2-room apartment,83.0,125000.0,28/12/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,1-room apartment,20.0,450.0,18/12/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,66.0,750.0,21/12/2023
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Rental,3-room apartment,100.0,800.0,04/01/2024
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Land,Vacant land,3000.0,410000.0,12/12/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,100.0,1600.0,02/01/2024
Ariana,Mnihla,Mnihla,Rental,Houses,90.0,450.0,20/12/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,100.0,1100.0,03/01/2024
Nabeul,Hammamet,Hammamet,Rental,Houses,800.0,6000.0,19/12/2023
Gabes,Gabes Medina,Gabes Medina,Sale,Other,300.0,11000000.0,25/12/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,4-room apartment,360.0,1850.0,29/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,636.0,2250000.0,23/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,342.0,950000.0,23/12/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,3-room apartment,151.0,950.0,27/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,100.0,1200.0,03/01/2024
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,250.0,5000.0,27/12/2023
Manouba,Mannouba,Mannouba,Rental,2-room apartment,80.0,600.0,22/12/2023
Ben arous,Mornag,Mornag,Offices & Shops,Business property,280.0,155000.0,11/12/2023
Tunis,El Menzah,El Menzah,Rental,4-room apartment,140.0,1150.0,04/01/2024
Tunis,Bab Bhar,Bab Bhar,Rental,3-room apartment,55.0,760.0,18/12/2023
Ariana,La Soukra,La Soukra,Rental,Surfaces,250.0,1700.0,14/12/2023
Manouba,Mannouba,Mannouba,Sale,1-room apartment,42.0,80000.0,26/11/2023
Tunis,Le Bardo,Le Bardo,Land,Vacant land,612.0,1250000.0,26/12/2023
Mahdia,La Chebba,La Chebba,Land,Vacant land,307.0,80000.0,12/08/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,166.0,150000.0,24/12/2023
Tunis,Bab Bhar,Bab Bhar,Sale,3-room apartment,80.0,116000.0,29/05/2023
Nabeul,Nabeul,Nabeul,Land,Vacant land,5000.0,150000.0,20/12/2023
Ariana,La Soukra,La Soukra,Sale,Duplex,232.0,580000.0,26/12/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,120.0,2800.0,18/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,370.0,1250000.0,15/12/2023
Bizerte,Ghar El Melh,Ghar El Melh,Sale,Houses,561.0,336600.0,15/12/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,40.0,600.0,26/12/2023
Tunis,La Marsa,La Marsa,Sale,Other,40.0,120000.0,26/12/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,154.0,374000.0,02/01/2024
Tunis,La Marsa,La Marsa,Sale,1-room apartment,120.0,950000.0,22/12/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,70.0,1100.0,22/12/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,105.0,1200.0,02/01/2024
Tunis,El Kram,El Kram,Rental,Surfaces,10.0,400.0,29/12/2023
Tunis,El Menzah,El Menzah,Sale,Houses,800.0,1950000.0,13/12/2023
Nabeul,Kelibia,Kelibia,Land,Agricultural land,12000.0,120000.0,02/01/2024
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Land,Vacant land,652.0,300000.0,15/12/2023
Sfax,Sfax Sud,Sfax Sud,Land,Vacant land,500.0,25000.0,20/12/2023
Nabeul,Hammamet,Hammamet,Rental,4-room apartment,130.0,1200.0,23/12/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Rental,3-room apartment,100.0,420.0,30/12/2023
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Sale,Houses,166.0,520000.0,18/12/2023
Nabeul,Kelibia,Kelibia,Sale,1-room apartment,75.0,155000.0,09/12/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,2-room apartment,52.0,243000.0,14/12/2023
Bizerte,Ghar El Melh,Ghar El Melh,Land,Vacant land,509.0,356300.0,19/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,2-room apartment,78.0,650.0,24/12/2023
Manouba,Mannouba,Mannouba,Land,Vacant land,140.0,85000.0,25/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,3-room apartment,112.0,600.0,25/12/2023
Sfax,Sfax Ville,Sfax Ville,Land,Vacant land,1200.0,50000.0,01/01/2024
Ben arous,Rades,Rades,Sale,Houses,420.0,490000.0,12/12/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Agricultural land,7000.0,350000.0,03/01/2024
Tunis,Cite El Khadra,Cite El Khadra,Sale,Houses,8.0,360000.0,18/12/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,92.0,1300.0,29/12/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,90.0,230000.0,15/12/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,130.0,2500.0,03/01/2024
Ben arous,Ezzahra,Ezzahra,Sale,2-room apartment,50.0,130000.0,28/12/2023
Tunis,La Marsa,La Marsa,Sale,Other,747.0,3361500.0,27/12/2023
Nabeul,Hammamet,Hammamet,Sale,5-room apartment and more,145.0,335000.0,28/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,110.0,850.0,28/12/2023
Manouba,Mannouba,Mannouba,Sale,5-room apartment and more,650.0,650000.0,25/12/2023
Manouba,Mannouba,Mannouba,Rental,3-room apartment,120.0,600.0,09/12/2023
Ben arous,El Mourouj,El Mourouj,Sale,3-room apartment,70.0,145000.0,11/12/2023
Sousse,Akouda,Akouda,Sale,1-room apartment,61.0,250000.0,21/12/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,78.0,1800.0,27/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,636.0,2250000.0,14/12/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Surfaces,120.0,1200.0,03/01/2024
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,70.0,850.0,11/12/2023
Nabeul,El Haouaria,El Haouaria,Sale,Houses,240.0,220000.0,03/01/2024
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,110.0,185000.0,19/12/2023
Ben arous,Rades,Rades,Rental,Houses,200.0,1650.0,25/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,106.0,265000.0,25/12/2023
Tunis,La Marsa,La Marsa,Rental,Duplex,190.0,2300.0,03/01/2024
Ariana,La Soukra,La Soukra,Sale,2-room apartment,110.0,410000.0,25/12/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,100.0,1000.0,30/12/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Free management,60.0,1500.0,21/12/2023
Tunis,La Marsa,La Marsa,Rental,Houses,150.0,1300.0,02/01/2024
Sousse,Sousse Ville,Sousse Ville,Sale,3-room apartment,84.0,315000.0,19/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,2-room apartment,105.0,280000.0,13/12/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,80.0,600.0,29/12/2023
Manouba,Jedaida,Jedaida,Land,Vacant land,40000.0,360000.0,13/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,224.0,370000.0,02/01/2024
Ariana,La Soukra,La Soukra,Land,Vacant land,323.0,287000.0,01/01/2024
Nabeul,Hammamet,Hammamet,Sale,Houses,732.0,1300000.0,23/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,950000.0,26/12/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,85.0,900.0,28/12/2023
Beja,Teboursouk,Teboursouk,Land,Agricultural land,10000.0,65000.0,29/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,430.0,630000.0,29/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,310.0,46500.0,29/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,140.0,1300.0,26/12/2023
Tunis,El Kabbaria,El Kabbaria,Rental,Houses,90.0,400.0,20/12/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,135.0,1200.0,02/01/2024
Ariana,Raoued,Raoued,Sale,3-room apartment,50.0,78000.0,11/12/2023
Ben arous,El Mourouj,El Mourouj,Rental,Duplex,1.0,800.0,15/12/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,400.0,340000.0,18/12/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,110.0,1500.0,12/12/2023
Sousse,Sousse Ville,Sousse Ville,Rental,2-room apartment,80.0,600.0,28/12/2023
Manouba,Mannouba,Mannouba,Sale,Houses,23708.0,3000000.0,03/01/2024
Sousse,Akouda,Akouda,Sale,2-room apartment,74.0,230000.0,14/12/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,604.0,761040.0,25/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,102.0,600.0,24/12/2023
Tunis,La Marsa,La Marsa,Sale,Duplex,147.0,600000.0,25/12/2023
Sfax,Sfax Sud,Sfax Sud,Land,Agricultural land,20953.0,25000.0,19/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,144.0,430000.0,18/12/2023
Nabeul,Hammamet,Hammamet,Sale,Other,500.0,849000.0,16/12/2023
Tunis,Bab Bhar,Bab Bhar,Rental,Surfaces,850.0,17000.0,22/12/2023
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,65.0,1100.0,01/01/2024
Tunis,La Marsa,La Marsa,Rental,1-room apartment,100.0,1700.0,25/12/2023
Tunis,Sidi El Bechir,Sidi El Bechir,Sale,3-room apartment,74.0,60000.0,12/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,550000.0,29/12/2023
Ariana,La Soukra,La Soukra,Rental,4-room apartment,135.0,1200.0,27/12/2023
Nabeul,Hammamet,Hammamet,Rental,Duplex,200.0,455.0,30/06/2022
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,102.0,250000.0,13/12/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,300.0,1000.0,30/12/2023
Bizerte,Bizerte Nord,Bizerte Nord,Rental,Houses,102.0,300.0,09/12/2023
Manouba,Jedaida,Jedaida,Land,Agricultural land,50000.0,420000.0,11/12/2023
Ariana,Raoued,Raoued,Land,Vacant land,300.0,50000.0,29/12/2023
Tunis,La Marsa,La Marsa,Sale,Duplex,347.0,2300000.0,13/12/2023
Nabeul,El Haouaria,El Haouaria,Land,Vacant land,210.0,33000.0,02/01/2024
Tunis,El Menzah,El Menzah,Offices & Shops,Office,800.0,17000.0,22/12/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,100.0,900.0,04/01/2024
Nabeul,El Haouaria,El Haouaria,Land,Vacant land,760.0,305000.0,02/01/2024
Gafsa,Gafsa Sud,Gafsa Sud,Sale,Duplex,180.0,265000.0,15/12/2023
Tunis,Le Bardo,Le Bardo,Rental,3-room apartment,98.0,600.0,03/01/2024
Tunis,Le Bardo,Le Bardo,Rental,1-room apartment,30.0,480.0,26/12/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,3-room apartment,94.0,550.0,26/12/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,Houses,100.0,420.0,22/12/2023
Manouba,Mannouba,Mannouba,Rental,3-room apartment,90.0,500.0,26/12/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1000.0,470000.0,29/12/2023
Ben arous,Megrine,Megrine,Rental,3-room apartment,120.0,750.0,12/12/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,2-room apartment,80.0,150000.0,09/12/2023
Nabeul,Hammamet,Hammamet,Rental,4-room apartment,140.0,2200.0,14/12/2023
Tunis,La Goulette,La Goulette,Sale,4-room apartment,140.0,550000.0,02/11/2023
Ariana,Raoued,Raoued,Rental,2-room apartment,100.0,500.0,03/01/2024
